alpha,beta,theta
0.07172504564134405,0.16041059604387087,0.10253383043363151
0.07487732260159877,0.15752986683063083,0.10477221581306898
0.045826147673737355,0.16174624883273758,0.04896498957113432
0.06684018759132257,0.1849851164391154,0.06386532537282794
0.06090109143900681,0.16119253762085026,0.06439801497281186
0.047615508951005026,0.1880231673803409,0.05514928296577788
0.05743699369282658,0.16168126178114922,0.08176168962684092
0.05879835092975555,0.17604534581774478,0.04959961657192331
0.04287770788803276,0.18406465105981068,0.09578091123089905
0.03837257281773433,0.16738351383290068,0.09650691153717376
0.05355314167384405,0.1663196821278798,0.11940765732143871
0.05089784005801939,0.16507263047460263,0.06637023635274701
0.038876221429559654,0.16230278713775623,0.041131668246910974
0.05827642142683161,0.15380034289864108,0.07635913404449492
0.05454328435415898,0.18900008609764818,0.07459025237764941
0.058799042552608656,0.18260394974940541,0.057320362428812964
0.06505064731068075,0.15501578033890304,0.07764779002303374
0.044679588945246096,0.18732098501107203,0.07724599432099075
0.06485144894842695,0.1789653691425141,0.08700663420733734
0.054328683248538116,0.21185164358232245,0.0540662786301655
0.053895849436393674,0.174504284633363,0.10529367528059334
0.03942944915661714,0.19231399228849685,0.07834150727950653
0.04915675847046419,0.18867529816473397,0.047347088558055445
0.0436703201763034,0.18646238746787172,0.057343004758279165
0.04449278733350909,0.1574001491102145,0.06101021139654465
0.047140884282896436,0.16316812978936013,0.04388362825871716
0.06704930644996795,0.20522245136626954,0.07037868905398696
0.06118068876118975,0.14625532691991686,0.063713097586551
0.06011896393318665,0.20722993435960252,0.12174085994634626
0.06357516846165034,0.16533977986062173,0.053369158651291736
0.07905125740244155,0.17678052263240698,0.04512282041322603
0.06329666797809957,0.20891855913074117,0.10424074731591045
0.0839015341951095,0.19261761405043948,0.08285802478463855
0.05343187142880568,0.188017667668459,0.044243775260590854
0.05069911176607328,0.20286933766406146,0.06117235374402299
0.054160910309918125,0.19317691512389273,0.06399331909500013
0.06476174632327623,0.2058477279196046,0.07532962365361795
0.05180371756451467,0.1832124024727278,0.04512103010706914
0.058394176300390885,0.1991760336920742,0.0803776921911118
0.07079520286364062,0.14963399447435977,0.07615197378894885
0.06421425593448152,0.17146319815646488,0.08860345570687196
0.0394530223050192,0.1659612981916,0.05936374586402764
0.04477312973849486,0.16714443231992615,0.046505235940099005
0.04875602342114933,0.19276733234358093,0.03734730239690415
0.07087399619014695,0.18801675080370978,0.08196999224587154
0.06705558932833125,0.16684460763662926,0.09250123773465332
0.051992960567749484,0.21035998885237067,0.05949228236993916
0.07165972233313864,0.18535291612104232,0.1028942044709243
0.06776951344336446,0.15927058880261777,0.068637955676316
0.06210189575203953,0.1536670583839185,0.059944271145746915
0.0569794842512616,0.1861480242309091,0.11338728283704382
0.06326835968550526,0.19281232939642232,0.06692785801237426
0.062286885842005285,0.17310353899389552,0.08634074577478654
0.0593943810155696,0.1777862261154458,0.041296549954893236
0.06401149883024697,0.16990930884073618,0.06581377158272575
0.040809842866937895,0.18718578271175124,0.04432968676023921
0.05960106254562772,0.1576518968967554,0.02511637290484515
0.06114942259657777,0.17423441994355887,0.06856378337608668
0.05457530664103626,0.19528960750727692,0.05081249553286436
0.044136118634669035,0.1546323725164153,0.03573873493785061
0.04918912281566955,0.18554871674960552,0.05438197764409714
0.044467798781156656,0.1547671853332948,0.03749710226101674
0.060036542347326416,0.16475895427080817,0.08704482181179107
0.052499973611149234,0.1936898498584093,0.08894813140527735
0.05260536412032579,0.18395781109600567,0.07634943199068034
0.06689103120450171,0.18489324375214622,0.0755877421755125
0.08010035567279279,0.18553064725034646,0.2002530212924228
0.08341860558471895,0.1525021829033916,0.08252510913258079
0.05917201425899822,0.17618520872286608,0.0680095877487763
0.05751940460831024,0.18191093146531173,0.05237446484805904
0.05057190660530449,0.1782169797390823,0.0614583571088132
0.04708057492684917,0.16666360846004358,0.05190759299867899
0.040747244611893024,0.1512367711710298,0.049433370050996656
0.04495531019471538,0.17995880599607245,0.06239353887019915
0.08413120007077525,0.15290650529795966,0.111463926123076
0.07911757892833274,0.19177859009921489,0.15309275632161534
0.06633620347129737,0.18024617314311064,0.059224785649558145
0.09083496140039488,0.19646587321257206,0.08103944646275804
0.0419349301868016,0.1482445297994215,0.07651899707185418
0.06830916192778534,0.1669207625702499,0.06653292345634904
0.08547882801994419,0.19240333246315972,0.15973054589118213
0.06754295961446485,0.16771604661498518,0.08497375050120005
0.05383084818653368,0.15985420301534548,0.055605290567219356
0.038348696091466655,0.16004644927754336,0.04286988933780504
0.05095115639019998,0.1762147410527894,0.0837589868609106
0.053003516774472986,0.17238897021781183,0.08950901817174785
0.052820242125252125,0.16484526034459124,0.03444871184539569
0.060623066782568125,0.17225264051587216,0.08571096609886295
0.03552600142078037,0.17103609665849906,0.05428394045808601
0.0401358737231649,0.1430256195276447,0.07105507094200023
0.06572427885087562,0.19740567619076974,0.08611287351701802
0.08855781239193064,0.18949080174287974,0.08369862737987262
0.054261694369599045,0.1742865523773014,0.10383820398706878
0.04675527423104389,0.15232055072960166,0.0566011932332591
0.07404338191197635,0.16707326702725306,0.05128475719953218
0.07428026897687322,0.2126999002922517,0.12377327133505853
0.0658443726883936,0.1833253888382703,0.08640912754957998
0.06780239745361026,0.20432796608961806,0.05929984664637789
0.03161899555521959,0.18280737451881962,0.044996930540175804
0.07361758521473499,0.18324030754288442,0.05808114359507972
